OTU	assignmentQual	taxID	superkingdom	phylum	class	order	family	genus	species
OTU_17638	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17639	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17640	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17641	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17642	Low	1892891	Eukaryota						Amoebozoa sp.
OTU_17643	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17644	High	690460	Eukaryota		Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus	Ectocarpus crouaniorum
OTU_17645	Low	57161	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium decemcellulare
OTU_17646	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17647	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17648	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17649	High	1881806	Eukaryota	Arthropoda	Insecta	Psocoptera	Ectopsocidae	Ectopsocus	Ectopsocus californicus
OTU_17650	Low	1262161	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia haitanensis
OTU_17652	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17653	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17654	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17655	Low	1841648	Eukaryota		Chrysophyceae	Chromulinales	Chromulinaceae	Pedospumella	Pedospumella sinomuralis
OTU_17656	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17657	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17658	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17659	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17660	None	None	NA	NA	NA	NA	NA	NA	NA
OTU_17661	None	None	NA	NA	NA	NA	NA	NA	NA
